#,No.,Name,Laps,Lead,Lap Tm,Spd,Elapsed Tm,Passing Tm,Hits,Strength,Noise,Photocell Time,Transponder,Backup Tx,Backup Passing Tm,Class
1,,Green Flag,,,,,0,10:01:56.779,,,,,,,,
217,13,Daniel Fenn 13,15,18,2:46.089,"54,2",53:53.289,10:55:50.068,44,165,25,,RS-44911,0,,M
218,41,Hanno Habighorst 41,18,18,2:51.449,"52,5",53:54.818,10:55:51.597,45,106,25,,FL-67553,0,,M
219,1,Christian Winkgen 1,17,18,2:56.544,51,54:06.801,10:56:03.580,36,164,27,,FR-20127,0,,M
220,40,Alexander Kamminga 40,14,18,3:40.335,"40,8",54:51.812,10:56:48.591,49,141,25,,SW-51561,0,,M
221,12,Nici Walde 12,19,19,2:51.460,"52,5",55:21.972,10:57:18.751,50,127,25,,RS-39204,0,,F
222,28,Ymte Sijbrandij 28,19,19,2:49.760,53,55:23.970,10:57:20.749,42,147,27,,FL-59825,0,,M
223,30,Bo Gustavsson 30,18,19,3:00.507,"49,9",55:28.009,10:57:24.788,54,122,26,,CK-85561,0,,M
224,7,Swannette Tempelman 7,16,19,3:39.684,41,56:06.101,10:58:02.880,56,172,23,,HL-85304,0,,F
225,4,Jan van Steeg 4,14,19,3:53.148,"38,6",56:12.646,10:58:09.425,49,149,24,,RG-75621,0,,M
226,2,Jan Kranczoch 2,14,19,3:54.297,"38,4",56:12.846,10:58:09.625,53,153,24,,RF-87962,0,,M
227,13,Daniel Fenn 13,16,19,2:46.833,"53,9",56:40.122,10:58:36.901,43,164,26,,RS-44911,0,,M
228,24,Peter Coppens 24,18,19,3:05.968,"48,4",56:40.750,10:58:37.529,38,124,26,,FL-79890,0,,M
229,6,Bernhard Böhler 6,18,19,3:06.644,"48,2",56:42.591,10:58:39.370,32,211,26,,TH-71610,0,,M
230,41,Hanno Habighorst 41,19,19,2:50.963,"52,6",56:45.781,10:58:42.560,47,105,28,,FL-67553,0,,M
231,35,Maarten Sijbrandij 35,15,19,4:00.701,"37,4",57:16.822,10:59:13.601,50,186,26,,FX-12737,0,,M
232,1,Christian Winkgen 1,18,19,3:12.255,"46,8",57:19.056,10:59:15.835,38,167,25,,FR-20127,0,,M
233,12,Nici Walde 12,20,20,2:55.266,"51,4",58:17.238,11:00:14.017,49,128,27,,RS-39204,0,,F
234,28,Ymte Sijbrandij 28,20,20,2:54.809,"51,5",58:18.779,11:00:15.558,43,149,27,,FL-59825,0,,M
235,30,Bo Gustavsson 30,19,20,2:55.646,"51,2",58:23.655,11:00:20.434,53,120,26,,CK-85561,0,,M
236,40,Alexander Kamminga 40,15,20,3:49.397,"39,2",58:41.209,11:00:37.988,50,133,27,,SW-51561,0,,M
237,13,Daniel Fenn 13,17,20,2:46.409,"54,1",59:26.531,11:01:23.310,45,163,25,,RS-44911,0,,M
238,41,Hanno Habighorst 41,20,20,2:54.888,"51,5",59:40.669,11:01:37.448,40,105,29,,FL-67553,0,,M
239,24,Peter Coppens 24,19,20,3:06.042,"48,4",59:46.792,11:01:43.571,37,123,28,,FL-79890,0,,M
240,6,Bernhard Böhler 6,19,20,3:05.659,"48,5",59:48.250,11:01:45.029,35,217,28,,TH-71610,0,,M
241,7,Swannette Tempelman 7,17,20,3:44.666,"40,1",59:50.767,11:01:47.546,54,170,29,,HL-85304,0,,F
242,4,Jan van Steeg 4,15,20,3:46.536,"39,7",59:59.182,11:01:55.961,48,146,29,,RG-75621,0,,M
243,2,Jan Kranczoch 2,15,20,3:58.973,"37,7",1:00:11.819,11:02:08.598,51,154,32,,RF-87962,0,,M
244,1,Christian Winkgen 1,19,20,3:19.782,45,1:00:38.838,11:02:35.617,32,164,26,,FR-20127,0,,M
245,12,Nici Walde 12,21,21,2:53.964,"51,7",1:01:11.202,11:03:07.981,51,127,28,,RS-39204,0,,F
246,35,Maarten Sijbrandij 35,16,21,3:56.736,38,1:01:13.558,11:03:10.337,51,201,26,,FX-12737,0,,M
247,28,Ymte Sijbrandij 28,21,21,2:56.738,"50,9",1:01:15.517,11:03:12.296,47,151,26,,FL-59825,0,,M
248,30,Bo Gustavsson 30,20,21,2:56.057,"51,1",1:01:19.712,11:03:16.491,56,121,26,,CK-85561,0,,M
249,13,Daniel Fenn 13,18,21,2:44.349,"54,8",1:02:10.880,11:04:07.659,45,165,25,,RS-44911,0,,M
250,40,Alexander Kamminga 40,16,21,3:49.799,"39,2",1:02:31.008,11:04:27.787,50,138,23,,SW-51561,0,,M
251,41,Hanno Habighorst 41,21,21,3:02.981,"49,2",1:02:43.650,11:04:40.429,54,108,23,,FL-67553,0,,M
252,24,Peter Coppens 24,20,21,3:07.278,"48,1",1:02:54.070,11:04:50.849,41,125,24,,FL-79890,0,,M
253,6,Bernhard Böhler 6,20,21,3:07.320,48,1:02:55.570,11:04:52.349,33,215,24,,TH-71610,0,,M
254,7,Swannette Tempelman 7,18,21,3:46.121,"39,8",1:03:36.888,11:05:33.667,56,173,24,,HL-85304,0,,F
255,4,Jan van Steeg 4,16,21,3:38.833,"41,1",1:03:38.015,11:05:34.794,48,137,24,,RG-75621,0,,M
256,1,Christian Winkgen 1,20,21,3:23.145,"44,3",1:04:01.983,11:05:58.762,39,162,22,,FR-20127,0,,M
257,12,Nici Walde 12,22,22,2:54.539,"51,6",1:04:05.741,11:06:02.520,50,126,23,,RS-39204,0,,F
258,2,Jan Kranczoch 2,16,22,3:59.409,"37,6",1:04:11.228,11:06:08.007,52,153,24,,RF-87962,0,,M
259,28,Ymte Sijbrandij 28,22,22,2:56.808,"50,9",1:04:12.325,11:06:09.104,45,148,24,,FL-59825,0,,M
260,30,Bo Gustavsson 30,21,22,2:56.620,51,1:04:16.332,11:06:13.111,57,124,24,,CK-85561,0,,M
261,13,Daniel Fenn 13,19,22,2:42.885,"55,3",1:04:53.765,11:06:50.544,43,164,24,,RS-44911,0,,M
262,35,Maarten Sijbrandij 35,17,22,3:46.247,"39,8",1:04:59.805,11:06:56.584,51,188,25,,FX-12737,0,,M
263,41,Hanno Habighorst 41,22,22,3:04.837,"48,7",1:05:48.487,11:07:45.266,29,105,25,,FL-67553,0,,M
264,6,Bernhard Böhler 6,21,22,3:04.654,"48,7",1:06:00.224,11:07:57.003,41,219,23,,TH-71610,0,,M
265,40,Alexander Kamminga 40,17,22,3:48.659,"39,4",1:06:19.667,11:08:16.446,49,150,26,,SW-51561,0,,M
266,12,Nici Walde 12,23,23,2:53.176,52,1:06:58.917,11:08:55.696,52,132,26,,RS-39204,0,,F
267,28,Ymte Sijbrandij 28,23,23,2:57.201,"50,8",1:07:09.526,11:09:06.305,43,146,25,,FL-59825,0,,M
268,7,Swannette Tempelman 7,19,23,3:35.368,"41,8",1:07:12.256,11:09:09.035,55,170,24,,HL-85304,0,,F
269,30,Bo Gustavsson 30,22,23,2:59.683,"50,1",1:07:16.015,11:09:12.794,55,121,24,,CK-85561,0,,M
270,4,Jan van Steeg 4,17,23,3:44.881,40,1:07:22.896,11:09:19.675,50,147,25,,RG-75621,0,,M
271,1,Christian Winkgen 1,21,23,3:22.848,"44,4",1:07:24.831,11:09:21.610,37,161,25,,FR-20127,0,,M
272,13,Daniel Fenn 13,20,23,2:44.163,"54,8",1:07:37.928,11:09:34.707,45,165,23,,RS-44911,0,,M
273,2,Jan Kranczoch 2,17,23,4:01.942,"37,2",1:08:13.170,11:10:09.949,53,154,26,,RF-87962,0,,M
274,35,Maarten Sijbrandij 35,18,23,3:32.592,"42,3",1:08:32.397,11:10:29.176,48,188,24,,FX-12737,0,,M
275,41,Hanno Habighorst 41,23,23,3:07.347,48,1:08:55.834,11:10:52.613,37,108,26,,FL-67553,0,,M
276,6,Bernhard Böhler 6,22,23,3:06.124,"48,4",1:09:06.348,11:11:03.127,31,217,30,,TH-71610,0,,M
277,12,Nici Walde 12,24,24,2:53.299,"51,9",1:09:52.216,11:11:48.995,49,127,26,,RS-39204,0,,F
278,28,Ymte Sijbrandij 28,24,24,2:57.868,"50,6",1:10:07.394,11:12:04.173,46,146,26,,FL-59825,0,,M
279,40,Alexander Kamminga 40,18,24,3:50.519,39,1:10:10.186,11:12:06.965,50,144,26,,SW-51561,0,,M
280,30,Bo Gustavsson 30,23,24,2:58.967,"50,3",1:10:14.982,11:12:11.761,54,122,25,,CK-85561,0,,M
281,13,Daniel Fenn 13,21,24,2:43.583,55,1:10:21.511,11:12:18.290,46,163,26,,RS-44911,0,,M
282,1,Christian Winkgen 1,22,24,3:21.476,"44,7",1:10:46.307,11:12:43.086,38,160,26,,FR-20127,0,,M
283,7,Swannette Tempelman 7,20,24,3:42.009,"40,5",1:10:54.265,11:12:51.044,56,171,26,,HL-85304,0,,F
284,4,Jan van Steeg 4,18,24,3:58.239,"37,8",1:11:21.135,11:13:17.914,49,148,24,,RG-75621,0,,M
285,41,Hanno Habighorst 41,24,24,3:01.467,"49,6",1:11:57.301,11:13:54.080,42,110,26,,FL-67553,0,,M
286,6,Bernhard Böhler 6,23,24,3:05.717,"48,5",1:12:12.065,11:14:08.844,31,215,27,,TH-71610,0,,M
287,35,Maarten Sijbrandij 35,19,24,3:40.732,"40,8",1:12:13.129,11:14:09.908,48,188,27,,FX-12737,0,,M
288,2,Jan Kranczoch 2,18,24,4:01.695,"37,2",1:12:14.865,11:14:11.644,52,154,27,,RF-87962,0,,M
289,12,Nici Walde 12,25,25,2:54.214,"51,7",1:12:46.430,11:14:43.209,50,127,27,,RS-39204,0,,F
290,13,Daniel Fenn 13,22,25,2:39.936,"56,3",1:13:01.447,11:14:58.226,41,163,26,,RS-44911,0,,M
291,28,Ymte Sijbrandij 28,25,25,2:58.755,"50,3",1:13:06.149,11:15:02.928,45,150,26,,FL-59825,0,,M
292,30,Bo Gustavsson 30,24,25,2:58.517,"50,4",1:13:13.499,11:15:10.278,54,120,26,,CK-85561,0,,M
293,40,Alexander Kamminga 40,19,25,3:48.572,"39,4",1:13:58.758,11:15:55.537,48,149,25,,SW-51561,0,,M
294,1,Christian Winkgen 1,23,25,3:27.999,"43,3",1:14:14.306,11:16:11.085,38,160,25,,FR-20127,0,,M
295,7,Swannette Tempelman 7,21,25,3:40.960,"40,7",1:14:35.225,11:16:32.004,55,171,25,,HL-85304,0,,F
296,41,Hanno Habighorst 41,25,25,3:02.132,"49,4",1:14:59.433,11:16:56.212,40,111,25,,FL-67553,0,,M
297,6,Bernhard Böhler 6,24,25,3:02.562,"49,3",1:15:14.627,11:17:11.406,33,228,25,,TH-71610,0,,M
298,4,Jan van Steeg 4,19,25,4:02.839,"37,1",1:15:23.974,11:17:20.753,50,146,26,,RG-75621,0,,M
299,12,Nici Walde 12,26,26,2:52.741,"52,1",1:15:39.171,11:17:35.950,49,123,24,,RS-39204,0,,F
300,13,Daniel Fenn 13,23,26,2:44.240,"54,8",1:15:45.687,11:17:42.466,45,165,24,,RS-44911,0,,M
301,35,Maarten Sijbrandij 35,20,26,3:49.073,"39,3",1:16:02.202,11:17:58.981,50,188,25,,FX-12737,0,,M
302,28,Ymte Sijbrandij 28,26,26,2:58.747,"50,4",1:16:04.896,11:18:01.675,44,147,25,,FL-59825,0,,M
303,2,Jan Kranczoch 2,19,26,3:58.616,"37,7",1:16:13.481,11:18:10.260,51,153,24,,RF-87962,0,,M
304,30,Bo Gustavsson 30,25,26,3:06.055,"48,4",1:16:19.554,11:18:16.333,54,118,24,,CK-85561,0,,M
305,1,Christian Winkgen 1,24,26,3:18.694,"45,3",1:17:33.000,11:19:29.779,34,163,25,,FR-20127,0,,M
306,40,Alexander Kamminga 40,20,26,3:46.265,"39,8",1:17:45.023,11:19:41.802,48,150,26,,SW-51561,0,,M
307,41,Hanno Habighorst 41,26,26,2:53.780,"51,8",1:17:53.213,11:19:49.992,48,105,25,,FL-67553,0,,M
308,7,Swannette Tempelman 7,22,26,3:39.651,41,1:18:14.876,11:20:11.655,55,172,25,,HL-85304,0,,F
309,12,Nici Walde 12,27,27,2:52.806,"52,1",1:18:31.977,11:20:28.756,49,125,26,,RS-39204,0,,F
310,13,Daniel Fenn 13,24,27,2:46.554,54,1:18:32.241,11:20:29.020,44,170,26,,RS-44911,0,,M
311,28,Ymte Sijbrandij 28,27,27,2:58.956,"50,3",1:19:03.852,11:21:00.631,43,148,27,,FL-59825,0,,M
312,4,Jan van Steeg 4,20,27,4:03.177,37,1:19:27.151,11:21:23.930,51,147,29,,RG-75621,0,,M
313,30,Bo Gustavsson 30,26,27,3:11.297,47,1:19:30.851,11:21:27.630,54,120,27,,CK-85561,0,,M
314,35,Maarten Sijbrandij 35,21,27,3:36.429,"41,6",1:19:38.631,11:21:35.410,50,185,28,,FX-12737,0,,M
315,2,Jan Kranczoch 2,20,27,3:57.014,38,1:20:10.495,11:22:07.274,52,154,26,,RF-87962,0,,M
316,6,Bernhard Böhler 6,25,27,5:07.706,"29,2",1:20:22.333,11:22:19.112,32,217,28,,TH-71610,0,,M
317,1,Christian Winkgen 1,25,27,3:19.634,"45,1",1:20:52.634,11:22:49.413,29,156,27,,FR-20127,0,,M
318,41,Hanno Habighorst 41,27,27,2:59.541,"50,1",1:20:52.754,11:22:49.533,33,105,27,,FL-67553,0,,M
319,13,Daniel Fenn 13,25,27,2:43.965,"54,9",1:21:16.206,11:23:12.985,44,163,27,,RS-44911,0,,M
320,12,Nici Walde 12,28,28,2:47.733,"53,7",1:21:19.710,11:23:16.489,44,125,27,,RS-39204,0,,F
321,40,Alexander Kamminga 40,21,28,3:44.272,"40,1",1:21:29.295,11:23:26.074,43,137,30,,SW-51561,0,,M
322,7,Swannette Tempelman 7,23,28,3:39.802,"40,9",1:21:54.678,11:23:51.457,55,172,30,,HL-85304,0,,F
323,28,Ymte Sijbrandij 28,28,28,2:58.991,"50,3",1:22:02.843,11:23:59.622,43,149,28,,FL-59825,0,,M
324,30,Bo Gustavsson 30,27,28,3:08.930,"47,6",1:22:39.781,11:24:36.560,54,118,29,,CK-85561,0,,M
325,35,Maarten Sijbrandij 35,22,28,3:39.891,"40,9",1:23:18.522,11:25:15.301,48,189,29,,FX-12737,0,,M
326,4,Jan van Steeg 4,21,28,3:57.358,"37,9",1:23:24.509,11:25:21.288,49,148,29,,RG-75621,0,,M
327,6,Bernhard Böhler 6,26,28,3:04.936,"48,7",1:23:27.269,11:25:24.048,32,221,29,,TH-71610,0,,M
328,41,Hanno Habighorst 41,28,28,3:01.023,"49,7",1:23:53.777,11:25:50.556,51,105,27,,FL-67553,0,,M
329,13,Daniel Fenn 13,26,28,2:44.348,"54,8",1:24:00.554,11:25:57.333,42,163,26,,RS-44911,0,,M
330,2,Jan Kranczoch 2,21,28,3:56.114,"38,1",1:24:06.609,11:26:03.388,51,154,26,,RF-87962,0,,M
331,12,Nici Walde 12,29,29,2:48.514,"53,4",1:24:08.224,11:26:05.003,46,125,26,,RS-39204,0,,F
332,1,Christian Winkgen 1,26,29,3:15.749,46,1:24:08.383,11:26:05.162,33,154,26,,FR-20127,0,,M
333,28,Ymte Sijbrandij 28,29,29,3:00.868,"49,8",1:25:03.711,11:27:00.490,43,146,25,,FL-59825,0,,M
334,40,Alexander Kamminga 40,22,29,3:48.504,"39,4",1:25:17.799,11:27:14.578,50,148,25,,SW-51561,0,,M
335,7,Swannette Tempelman 7,24,29,3:47.511,"39,6",1:25:42.189,11:27:38.968,54,171,25,,HL-85304,0,,F
336,30,Bo Gustavsson 30,28,29,3:06.675,"48,2",1:25:46.456,11:27:43.235,52,117,25,,CK-85561,0,,M
337,6,Bernhard Böhler 6,27,29,3:04.739,"48,7",1:26:32.008,11:28:28.787,33,213,26,,TH-71610,0,,M
338,13,Daniel Fenn 13,27,29,2:41.832,"55,6",1:26:42.386,11:28:39.165,42,164,24,,RS-44911,0,,M
339,35,Maarten Sijbrandij 35,23,29,3:34.142,42,1:26:52.664,11:28:49.443,49,189,24,,FX-12737,0,,M
340,41,Hanno Habighorst 41,29,29,3:02.909,"49,2",1:26:56.686,11:28:53.465,54,101,25,,FL-67553,0,,M
341,12,Nici Walde 12,30,30,2:48.940,"53,3",1:26:57.164,11:28:53.943,51,128,25,,RS-39204,0,,F
342,1,Christian Winkgen 1,27,30,3:13.697,"46,5",1:27:22.080,11:29:18.859,38,163,24,,FR-20127,0,,M
343,4,Jan van Steeg 4,22,30,4:09.196,"36,1",1:27:33.705,11:29:30.484,51,146,25,,RG-75621,0,,M
344,2,Jan Kranczoch 2,22,30,3:55.804,"38,2",1:28:02.413,11:29:59.192,53,153,23,,RF-87962,0,,M
345,28,Ymte Sijbrandij 28,30,30,3:01.880,"49,5",1:28:05.591,11:30:02.370,45,148,23,,FL-59825,0,,M
346,30,Bo Gustavsson 30,29,30,3:08.082,"47,9",1:28:54.538,11:30:51.317,58,120,24,,CK-85561,0,,M
347,40,Alexander Kamminga 40,23,30,3:48.590,"39,4",1:29:06.389,11:31:03.168,49,142,22,,SW-51561,0,,M
348,13,Daniel Fenn 13,28,30,2:41.298,"55,8",1:29:23.684,11:31:20.463,43,164,24,,RS-44911,0,,M
349,7,Swannette Tempelman 7,25,30,3:44.696,"40,1",1:29:26.885,11:31:23.664,56,172,25,,HL-85304,0,,F
350,6,Bernhard Böhler 6,28,30,3:06.018,"48,4",1:29:38.026,11:31:34.805,33,211,25,,TH-71610,0,,M
351,12,Nici Walde 12,31,31,2:50.289,"52,9",1:29:47.453,11:31:44.232,49,126,24,,RS-39204,0,,F
352,41,Hanno Habighorst 41,30,31,3:00.184,"49,9",1:29:56.870,11:31:53.649,52,107,25,,FL-67553,0,,M
353,35,Maarten Sijbrandij 35,24,31,3:37.990,"41,3",1:30:30.654,11:32:27.433,50,185,25,,FX-12737,0,,M
354,1,Christian Winkgen 1,28,31,3:26.056,"43,7",1:30:48.136,11:32:44.915,33,164,26,,FR-20127,0,,M
355,28,Ymte Sijbrandij 28,31,31,3:01.022,"49,7",1:31:06.613,11:33:03.392,44,147,27,,FL-59825,0,,M
356,4,Jan van Steeg 4,23,31,4:03.799,"36,9",1:31:37.504,11:33:34.283,52,146,29,,RG-75621,0,,M
357,2,Jan Kranczoch 2,23,31,3:58.552,"37,7",1:32:00.965,11:33:57.744,51,153,26,,RF-87962,0,,M
358,30,Bo Gustavsson 30,30,31,3:08.673,"47,7",1:32:03.211,11:33:59.990,51,118,26,,CK-85561,0,,M
359,13,Daniel Fenn 13,29,31,2:42.419,"55,4",1:32:06.103,11:34:02.882,42,164,26,,RS-44911,0,,M
360,12,Nici Walde 12,32,32,2:51.822,"52,4",1:32:39.275,11:34:36.054,44,125,27,,RS-39204,0,,F
361,6,Bernhard Böhler 6,29,32,3:05.375,"48,6",1:32:43.401,11:34:40.180,33,213,27,,TH-71610,0,,M
362,40,Alexander Kamminga 40,24,32,3:53.477,"38,5",1:32:59.866,11:34:56.645,49,140,26,,SW-51561,0,,M
363,41,Hanno Habighorst 41,31,32,3:06.835,"48,2",1:33:03.705,11:35:00.484,47,106,26,,FL-67553,0,,M
364,7,Swannette Tempelman 7,26,32,3:44.624,"40,1",1:33:11.509,11:35:08.288,57,172,24,,HL-85304,0,,F
365,35,Maarten Sijbrandij 35,25,32,3:36.384,"41,6",1:34:07.038,11:36:03.817,48,187,24,,FX-12737,0,,M
366,28,Ymte Sijbrandij 28,32,32,3:00.643,"49,8",1:34:07.256,11:36:04.035,44,147,24,,FL-59825,0,,M
367,1,Christian Winkgen 1,29,32,3:22.516,"44,4",1:34:10.652,11:36:07.431,38,163,25,,FR-20127,0,,M
368,13,Daniel Fenn 13,30,32,2:42.045,"55,5",1:34:48.148,11:36:44.927,38,165,25,,RS-44911,0,,M
369,30,Bo Gustavsson 30,31,32,3:09.466,"47,5",1:35:12.677,11:37:09.456,55,122,31,,CK-85561,0,,M
370,12,Nici Walde 12,33,33,2:54.959,"51,4",1:35:34.234,11:37:31.013,48,126,27,,RS-39204,0,,F
371,4,Jan van Steeg 4,24,33,4:00.413,"37,4",1:35:37.917,11:37:34.696,48,147,31,,RG-75621,0,,M
372,6,Bernhard Böhler 6,30,33,3:07.877,"47,9",1:35:51.278,11:37:48.057,32,215,28,,TH-71610,0,,M
373,2,Jan Kranczoch 2,24,33,4:01.073,"37,3",1:36:02.038,11:37:58.817,52,154,26,,RF-87962,0,,M
374,41,Hanno Habighorst 41,32,33,3:06.415,"48,3",1:36:10.120,11:38:06.899,44,109,26,,FL-67553,0,,M
375,40,Alexander Kamminga 40,25,33,3:52.241,"38,8",1:36:52.107,11:38:48.886,46,132,28,,SW-51561,0,,M
376,7,Swannette Tempelman 7,27,33,3:48.438,"39,4",1:36:59.947,11:38:56.726,51,171,36,,HL-85304,0,,F
377,28,Ymte Sijbrandij 28,33,33,3:02.042,"49,4",1:37:09.298,11:39:06.077,44,149,38,,FL-59825,0,,M
378,1,Christian Winkgen 1,30,33,3:07.218,"48,1",1:37:17.870,11:39:14.649,34,170,27,,FR-20127,0,,M
379,13,Daniel Fenn 13,31,33,2:43.121,"55,2",1:37:31.269,11:39:28.048,41,164,26,,RS-44911,0,,M
380,35,Maarten Sijbrandij 35,26,33,3:37.187,"41,4",1:37:44.225,11:39:41.004,51,184,30,,FX-12737,0,,M
381,30,Bo Gustavsson 30,32,33,3:07.714,"47,9",1:38:20.391,11:40:17.170,55,121,35,,CK-85561,0,,M
382,12,Nici Walde 12,34,34,2:55.942,"51,2",1:38:30.176,11:40:26.955,48,127,27,,RS-39204,0,,F
383,6,Bernhard Böhler 6,31,34,3:07.039,"48,1",1:38:58.317,11:40:55.096,32,215,26,,TH-71610,0,,M
384,41,Hanno Habighorst 41,33,34,3:07.351,48,1:39:17.471,11:41:14.250,52,105,25,,FL-67553,0,,M
385,4,Jan van Steeg 4,25,34,3:56.666,38,1:39:34.583,11:41:31.362,50,146,25,,RG-75621,0,,M
386,2,Jan Kranczoch 2,25,34,3:59.354,"37,6",1:40:01.392,11:41:58.171,51,155,25,,RF-87962,0,,M
387,13,Daniel Fenn 13,32,34,2:38.382,"56,8",1:40:09.651,11:42:06.430,43,169,28,,RS-44911,0,,M
388,28,Ymte Sijbrandij 28,34,34,3:01.091,"49,7",1:40:10.389,11:42:07.168,41,147,28,,FL-59825,0,,M
389,1,Christian Winkgen 1,31,34,3:10.296,"47,3",1:40:28.166,11:42:24.945,35,162,27,,FR-20127,0,,M
390,7,Swannette Tempelman 7,28,34,3:40.963,"40,7",1:40:40.910,11:42:37.689,56,171,24,,HL-85304,0,,F
391,40,Alexander Kamminga 40,26,34,3:49.401,"39,2",1:40:41.508,11:42:38.287,49,131,24,,SW-51561,0,,M
392,35,Maarten Sijbrandij 35,27,34,3:40.038,"40,9",1:41:24.263,11:43:21.042,50,189,24,,FX-12737,0,,M
393,12,Nici Walde 12,35,35,2:55.115,"51,4",1:41:25.291,11:43:22.070,50,125,24,,RS-39204,0,,F
394,30,Bo Gustavsson 30,33,35,3:07.330,48,1:41:27.721,11:43:24.500,55,119,24,,CK-85561,0,,M
395,6,Bernhard Böhler 6,32,35,3:07.971,"47,9",1:42:06.288,11:44:03.067,32,217,24,,TH-71610,0,,M
396,41,Hanno Habighorst 41,34,35,3:10.160,"47,3",1:42:27.631,11:44:24.410,52,106,26,,FL-67553,0,,M
397,13,Daniel Fenn 13,33,35,2:41.611,"55,7",1:42:51.262,11:44:48.041,43,164,25,,RS-44911,0,,M
398,28,Ymte Sijbrandij 28,35,35,3:01.118,"49,7",1:43:11.507,11:45:08.286,43,147,25,,FL-59825,0,,M
399,4,Jan van Steeg 4,26,35,3:58.349,"37,8",1:43:32.932,11:45:29.711,50,146,26,,RG-75621,0,,M
400,1,Christian Winkgen 1,32,35,3:25.308,"43,8",1:43:53.474,11:45:50.253,39,163,25,,FR-20127,0,,M
401,2,Jan Kranczoch 2,26,35,3:59.205,"37,6",1:44:00.597,11:45:57.376,52,153,25,,RF-87962,0,,M
402,7,Swannette Tempelman 7,29,35,3:32.737,"42,3",1:44:13.647,11:46:10.426,56,170,25,,HL-85304,0,,F
403,40,Alexander Kamminga 40,27,35,3:32.929,"42,3",1:44:14.437,11:46:11.216,48,137,25,,SW-51561,0,,M
404,12,Nici Walde 12,36,36,2:51.961,"52,3",1:44:17.252,11:46:14.031,50,128,24,,RS-39204,0,,F
405,30,Bo Gustavsson 30,34,36,3:06.582,"48,2",1:44:34.303,11:46:31.082,57,121,24,,CK-85561,0,,M
406,24,Peter Coppens 24,20,36,41:58.389,"3,6",1:02:54.070,11:46:49.238,60,126,24,,FL-79890,0,,M
407,6,Bernhard Böhler 6,33,36,3:05.786,"48,4",1:45:12.074,11:47:08.853,32,213,24,,TH-71610,0,,M
408,35,Maarten Sijbrandij 35,28,36,3:48.753,"39,3",1:45:13.016,11:47:09.795,49,187,25,,FX-12737,0,,M
409,41,Hanno Habighorst 41,35,36,3:06.904,"48,2",1:45:34.535,11:47:31.314,33,103,24,,FL-67553,0,,M
410,13,Daniel Fenn 13,34,36,2:43.454,"55,1",1:45:34.716,11:47:31.495,42,166,24,,RS-44911,0,,M
411,28,Ymte Sijbrandij 28,36,36,3:01.537,"49,6",1:46:13.044,11:48:09.823,44,146,24,,FL-59825,0,,M
412,12,Nici Walde 12,37,37,2:53.811,"51,8",1:47:11.063,11:49:07.842,47,126,26,,RS-39204,0,,F
413,1,Christian Winkgen 1,33,37,3:23.111,"44,3",1:47:16.585,11:49:13.364,35,159,26,,FR-20127,0,,M
414,4,Jan van Steeg 4,27,37,3:59.718,"37,5",1:47:32.650,11:49:29.429,50,146,26,,RG-75621,0,,M
415,30,Bo Gustavsson 30,35,37,3:08.672,"47,7",1:47:42.975,11:49:39.754,55,117,26,,CK-85561,0,,M
416,7,Swannette Tempelman 7,30,37,3:33.181,"42,2",1:47:46.828,11:49:43.607,54,171,26,,HL-85304,0,,F
417,40,Alexander Kamminga 40,28,37,3:43.719,"40,2",1:47:58.156,11:49:54.935,48,138,27,,SW-51561,0,,M
418,2,Jan Kranczoch 2,27,37,3:57.854,"37,8",1:47:58.451,11:49:55.230,50,148,27,,RF-87962,0,,M
419,24,Peter Coppens 24,21,37,45:18.463,"3,3",1:48:12.533,11:50:09.312,35,123,29,,FL-79890,0,,M
420,6,Bernhard Böhler 6,34,37,3:01.636,"49,5",1:48:13.710,11:50:10.489,32,219,29,,TH-71610,0,,M
421,13,Daniel Fenn 13,35,37,2:41.862,"55,6",1:48:16.578,11:50:13.357,42,165,28,,RS-44911,0,,M
422,41,Hanno Habighorst 41,36,37,3:04.173,"48,9",1:48:38.708,11:50:35.487,46,107,26,,FL-67553,0,,M
423,35,Maarten Sijbrandij 35,29,37,3:44.739,40,1:48:57.755,11:50:54.534,50,188,26,,FX-12737,0,,M
424,28,Ymte Sijbrandij 28,37,37,3:00.523,"49,9",1:49:13.567,11:51:10.346,42,147,25,,FL-59825,0,,M
425,12,Nici Walde 12,38,38,2:57.372,"50,7",1:50:08.435,11:52:05.214,49,126,37,,RS-39204,0,,F
426,1,Christian Winkgen 1,34,38,3:23.972,"44,1",1:50:40.557,11:52:37.336,31,162,29,,FR-20127,0,,M
427,30,Bo Gustavsson 30,36,38,3:12.443,"46,8",1:50:55.418,11:52:52.197,52,118,27,,CK-85561,0,,M
428,13,Daniel Fenn 13,36,38,2:41.291,"55,8",1:50:57.869,11:52:54.648,41,164,27,,RS-44911,0,,M
429,24,Peter Coppens 24,22,38,2:57.317,"50,8",1:51:09.850,11:53:06.629,37,125,29,,FL-79890,0,,M
430,6,Bernhard Böhler 6,35,38,3:03.241,"49,1",1:51:16.951,11:53:13.730,33,217,29,,TH-71610,0,,M
431,7,Swannette Tempelman 7,31,38,3:40.800,"40,8",1:51:27.628,11:53:24.407,56,171,27,,HL-85304,0,,F
432,4,Jan van Steeg 4,28,38,4:02.685,"37,1",1:51:35.335,11:53:32.114,49,147,27,,RG-75621,0,,M
