#,No.,Name,Laps,Lead,Lap Tm,Spd,Elapsed Tm,Passing Tm,Hits,Strength,Noise,Photocell Time,Transponder,Backup Tx,Backup Passing Tm,Class
1,,Green Flag,,,,,0,10:01:56.779,,,,,,,,
53,41,Hanno Habighorst 41,4,4,3:00.426,"49,9",12:12.529,10:14:09.308,50,104,24,,FL-67553,0,,M
54,12,Nici Walde 12,4,4,2:53.109,52,12:15.968,10:14:12.747,52,130,24,,RS-39204,0,,F
55,30,Bo Gustavsson 30,4,4,2:56.690,"50,9",12:22.309,10:14:19.088,53,119,23,,CK-85561,0,,M
56,2,Jan Kranczoch 2,3,4,4:01.414,"37,3",12:25.106,10:14:21.885,53,156,24,,RF-87962,0,,M
57,24,Peter Coppens 24,4,4,3:05.519,"48,5",12:46.679,10:14:43.458,46,127,25,,FL-79890,0,,M
58,1,Christian Winkgen 1,4,4,3:07.478,48,12:51.400,10:14:48.179,31,164,25,,FR-20127,0,,M
59,6,Bernhard Böhler 6,4,4,3:06.055,"48,4",12:52.886,10:14:49.665,39,217,25,,TH-71610,0,,M
60,7,Swannette Tempelman 7,4,4,3:25.075,"43,9",13:45.969,10:15:42.748,54,170,24,,HL-85304,0,,F
61,35,Maarten Sijbrandij 35,4,4,3:42.939,"40,4",14:58.007,10:16:54.786,50,187,25,,FX-12737,0,,M
62,28,Ymte Sijbrandij 28,5,5,2:57.643,"50,7",14:59.277,10:16:56.056,45,147,25,,FL-59825,0,,M
63,40,Alexander Kamminga 40,4,5,3:48.199,"39,4",15:08.293,10:17:05.072,50,148,23,,SW-51561,0,,M
64,4,Jan van Steeg 4,4,5,3:48.323,"39,4",15:08.664,10:17:05.443,50,147,23,,RG-75621,0,,M
65,12,Nici Walde 12,5,5,2:54.425,"51,6",15:10.393,10:17:07.172,51,123,23,,RS-39204,0,,F
66,41,Hanno Habighorst 41,5,5,3:01.296,"49,6",15:13.825,10:17:10.604,52,104,24,,FL-67553,0,,M
67,30,Bo Gustavsson 30,5,5,3:00.789,"49,8",15:23.098,10:17:19.877,54,122,25,,CK-85561,0,,M
68,24,Peter Coppens 24,5,5,3:07.274,"48,1",15:53.953,10:17:50.732,48,127,26,,FL-79890,0,,M
69,1,Christian Winkgen 1,5,5,3:08.662,"47,7",16:00.062,10:17:56.841,31,162,25,,FR-20127,0,,M
70,6,Bernhard Böhler 6,5,5,3:09.050,"47,6",16:01.936,10:17:58.715,38,219,25,,TH-71610,0,,M
71,2,Jan Kranczoch 2,4,5,3:59.043,"37,7",16:24.149,10:18:20.928,55,154,25,,RF-87962,0,,M
72,7,Swannette Tempelman 7,5,5,3:28.496,"43,2",17:14.465,10:19:11.244,56,172,24,,HL-85304,0,,F
73,28,Ymte Sijbrandij 28,6,6,2:58.025,"50,6",17:57.302,10:19:54.081,44,147,24,,FL-59825,0,,M
